,0,1,2,3,4,5
80,wcd_2010-07-04-nat_furthur_flac_lossless_1694544/Furthur - 2010-07-04 - Nateva Music & Camping Festival (FLAC)/frtr100704d3_02_Slipknot.flac,Furthur,Slipknot!,430.49,,
81,wcd_03152012-0318201_oar_mp3_192_29995417/O.A.R. Extended Stay Philadelphia/03_17_2012 Theatre of Living Arts/14 To Zion Goes I.mp3,O.A.R.,To Zion Goes I,368.9,,
82,wcd_aangenaam_beatbusters_flac_lossless_29519823/Def P & Beatbusters - Aangenaam 2001 Flac/13 Zappen.flac,Beatbusters,Zappen,231.09,https://www.youtube.com/watch?v=64oRNbtQgLA,
83,"wcd_1987-08-15---town-pa_grateful-dead_flac_lossless_30933425/Grateful Dead - 1987-08-15 - Town Park - Telluride, CO - FLAC/206 Space_.flac",Grateful Dead,Space>,438.16,,
84,"wcd_2014-07-12---ogden-t_ratdog_flac_lossless_31561289/Ratdog - 2014-07-12 - Ogden Theatre - Denver, CO (FLAC)/16 Brokedown Palace.flac",Ratdog,Brokedown Palace,393.0,,
85,"wcd_100-transcendental-s_fredrik-ullen_flac_lossless_1218865/Fredrik Ullén - 100 Transcendental Studies, 26-43 - FLAC/14 - 39. (untitled) .flac",Fredrik Ullén,39. (untitled),222.89,,
86,wcd_12_goro-yamaguchi-_flac_lossless_31071696/耳による日本の音楽・アジアの音楽 - 2 (1989) [FLAC]/05 - 藤田大五郎、幸宣佳、安福春雄、金春惣右衛門 - 能楽「獅子」.flac,Goro Yamaguchi (山口五郎),能楽「獅子」,370.2,,
87,"wcd_1083__flac_lossless_30871145/1994 - Солдатский сон (1999, ХОР; Moroz, HCD-015)/09 Воспоминание.flac",Коммунизм,Воспоминание,170.56,,
88,wcd_20-suosikkia-saat-m_jormas_flac_lossless_29874188/Jormas - 20 Suosikkia Saat miehen kyyneliin (1996) [FLAC]/19. Listen to My Song.flac,Jormas,Listen to My Song,126.86,https://www.youtube.com/watch?v=aDWeDWgsZgs,
89,wcd_2005-06-24-atlantic-_govt-mule_flac_lossless_29895994/Mule 2005-06-24 FLAC/mule050624d1_05_Thats_What_Love_Will_Make_You_Do.flac,Gov't Mule,1_05_Thats_What_Love_Will_Make_You_Do,0.0,,
90,wcd_a-john-prine-christm_john-prine_flac_lossless_29145385/John Prine - A John Prine Christmas (1993) FLAC/01 - Everything Is Cool.flac,John Prine,Everything Is Cool,205.2,https://www.youtube.com/watch?v=e4HFRh2h-sU,
